channel_name,image_name,object_class,confidence,x_min,y_min,x_max,y_max
lobelia4cosmetics,22709.jpg,bottle,0.7326,266.14166259765625,95.5146713256836,426.87945556640625,534.071533203125
lobelia4cosmetics,22710.jpg,person,0.4573,465.8716125488281,368.70611572265625,596.583984375,578.1015625
lobelia4cosmetics,22710.jpg,book,0.3185,195.7894744873047,710.8551025390625,598.436279296875,799.7451782226562
lobelia4cosmetics,22711.jpg,bottle,0.87,363.4574890136719,51.875732421875,923.63525390625,1278.2078857421875
lobelia4cosmetics,22712.jpg,bottle,0.4841,172.86175537109375,85.170166015625,654.9950561523438,1171.663818359375
lobelia4cosmetics,22712.jpg,dining table,0.2949,0.0,950.0220336914062,849.5654296875,1278.919921875
lobelia4cosmetics,22713.jpg,bottle,0.588,218.26547241210938,32.604549407958984,486.8515319824219,641.9086303710938
lobelia4cosmetics,22713.jpg,bottle,0.3194,217.45228576660156,206.17160034179688,486.5111999511719,655.9906005859375
lobelia4cosmetics,22714.jpg,clock,0.2701,488.2523498535156,230.61990356445312,700.5152587890625,432.3203430175781
lobelia4cosmetics,22716.jpg,bottle,0.8076,112.36875915527344,27.5928955078125,599.599609375,1250.4852294921875
lobelia4cosmetics,22717.jpg,cell phone,0.3196,97.504150390625,147.2822265625,798.3117065429688,1245.9461669921875
lobelia4cosmetics,22718.jpg,person,0.6241,283.80517578125,713.6126708984375,778.5501708984375,1221.8541259765625
lobelia4cosmetics,22718.jpg,surfboard,0.3663,124.2664794921875,23.7469482421875,1189.0,1277.0135498046875
lobelia4cosmetics,22719.jpg,person,0.6789,433.2819519042969,94.08354949951172,602.556396484375,356.2391662597656
lobelia4cosmetics,22719.jpg,stop sign,0.2719,119.3766860961914,158.48260498046875,498.2906188964844,518.3598022460938
lobelia4cosmetics,22721.jpg,bottle,0.3139,749.8294677734375,355.29388427734375,802.0653076171875,502.40545654296875
lobelia4cosmetics,22722.jpg,bottle,0.5716,196.3411865234375,455.99609375,570.0520629882812,1204.0758056640625
lobelia4cosmetics,22722.jpg,cup,0.4182,191.8980712890625,472.09912109375,570.4277954101562,1239.9527587890625
lobelia4cosmetics,22722.jpg,dining table,0.3087,0.0,800.0264892578125,748.0,1278.3548583984375
lobelia4cosmetics,22723.jpg,bottle,0.8544,335.1757507324219,214.0631103515625,667.81494140625,1250.547119140625
lobelia4cosmetics,22724.jpg,bottle,0.8224,258.740478515625,20.2540283203125,658.199462890625,1280.0
